home,away,predict_kp,date,draft_kings,line,home_cover,percent_chance,bet
Northwestern,Iowa,-8,2021-01-17,-10.0,-11.006824153232504,0.0,0.6777483601736307,Iowa
Delaware St.,Norfolk St.,-10,2021-01-17,-10.0,-10.259328078209837,0.0,0.6568157182189375,Norfolk St.
Vermont,Maine,17,2021-01-17,18.0,18.70396266640773,1.0,0.6533328193554794,Vermont
Tulsa,Memphis,1,2021-01-17,-1.5,-0.06752746932922449,1.0,0.6224471281651255,Tulsa
George Washington,Dayton,-8,2021-01-17,-7.5,-9.496659169465591,0.0,0.6212412345867853,Dayton
Cal St. Fullerton,Cal St. Northridge,-1,2021-01-17,2.0,-1.6562276670804188,0.0,0.6173506757942944,Cal St. Northridge
Morgan St.,Coppin St.,9,2021-01-17,8.5,10.246824290152784,1.0,0.6122163823234659,Morgan St.
Houston,UCF,13,2021-01-17,14.0,12.533687549952983,1.0,0.6052435001174616,Houston
Loyola MD,Lafayette,-1,2021-01-17,1.0,-1.2598238286261711,0.0,0.5899553911044999,Lafayette
Marshall,Western Kentucky,4,2021-01-17,3.0,1.816492987225967,0.0,0.5840350510326395,Western Kentucky
Wake Forest,Virginia Tech,-8,2021-01-17,-7.0,-9.37507306963926,0.0,0.5819831832330553,Virginia Tech
Navy,American,6,2021-01-17,5.5,6.341257387446046,1.0,0.5679572317636914,Navy
Colgate,Holy Cross,20,2021-01-17,20.0,20.421168078971245,1.0,0.5675582985250092,Colgate
Loyola Chicago,Northern Iowa,11,2021-01-17,10.5,10.061785646168257,1.0,0.5568948128697526,Loyola Chicago
Lehigh,Bucknell,1,2021-01-17,-1.0,1.8958321643300842,1.0,0.5501544495275511,Lehigh
Illinois St.,Indiana St.,-5,2021-01-17,-5.5,-4.6022016685461615,0.0,0.5437189653629639,Indiana St.
Fordham,Massachusetts,-7,2021-01-17,-8.5,-9.630364858199517,0.0,0.543586783194759,Massachusetts
Boston University,Army,-1,2021-01-17,-4.0,-0.5774087094735059,1.0,0.537728971956218,Boston University
San Diego,Santa Clara,-2,2021-01-17,-3.5,-1.8111890590053896,1.0,0.5364466083566698,San Diego
Weber St.,Tarleton St.,8,2021-01-17,12.0,7.911341475380322,0.0,0.527225298149884,Tarleton St.
Purdue,Penn St.,4,2021-01-17,5.0,2.0230546408366585,0.0,0.5225892894483529,Penn St.
Idaho St.,Sacramento St.,-1,2021-01-17,2.0,-0.7438184857687453,1.0,0.5223688081282446,Idaho St.
Nevada,Fresno St.,8,2021-01-17,6.5,5.94846353456489,0.0,0.5211366772593511,Fresno St.
UMBC,Hartford,4,2021-01-17,6.0,2.9066933649097244,0.0,0.5144757888852665,Hartford
Delaware,Hofstra,-1,2021-01-17,-3.5,-2.732305932973123,0.0,0.5114190875066202,Hofstra
Stony Brook,New Hampshire,1,2021-01-17,1.5,-0.28133645284218645,0.0,0.5108004256589295,New Hampshire
Binghamton,UMass Lowell,-7,2021-01-17,-6.0,-6.44733558843075,1.0,0.5010226504905836,Binghamton
Bradley,Evansville,11,2021-01-17,8.5,9.303004106920408,0.0,0.5001709430007604,Evansville
