teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Baylor,B12,121.3,86.7,69.5,15.9,17.5,59.2,46.0,17.6,26.5,38.5,29.1,44.0,31.4,1.95,76.6,5,1
Gonzaga,WCC,124.4,90.3,74.9,14.2,17.5,60.4,46.9,15.4,20.0,34.0,24.3,35.3,33.9,1.48,78.3,5,1
Michigan,B10,117.0,88.8,68.3,16.8,17.7,57.6,43.0,18.4,15.5,30.4,25.1,37.7,32.2,2.08,77.9,4,1
Iowa,B10,124.6,97.6,71.1,15.7,17.1,56.4,48.6,13.7,17.8,34.3,30.1,38.4,34.8,1.68,77.8,4,0
Houston,Amer,113.5,87.4,66.2,19.2,16.5,48.4,41.6,18.2,23.8,41.1,26.6,33.9,26.1,1.77,77.0,5,1
Villanova,BE,119.4,93.3,64.8,18.2,17.4,54.8,52.9,11.9,19.9,27.2,21.2,36.9,36.2,1.88,77.9,5,1
Virginia,ACC,116.0,90.3,60.1,19.7,18.8,58.6,47.5,13.9,16.0,23.6,20.3,39.6,33.5,1.86,77.8,5,1
Illinois,B10,116.6,91.8,70.8,16.5,16.7,57.3,46.4,18.5,16.3,33.3,22.2,39.7,33.6,1.62,77.0,3,1
Alabama,SEC,114.5,89.8,74.6,14.3,17.5,52.2,45.4,18.2,21.2,31.1,29.6,36.0,30.2,1.89,77.8,5,1
Texas,B12,114.2,90.0,69.8,16.2,18.0,52.5,43.6,18.7,17.0,32.0,27.4,34.4,28.4,1.89,78.0,3,0
Wisconsin,B10,112.4,88.6,64.9,18.4,17.9,51.2,45.8,13.0,17.6,23.0,22.5,37.9,32.3,2.39,78.0,3,1
Texas Tech,B12,113.2,90.2,67.0,17.8,17.5,49.4,46.9,15.8,25.5,34.6,28.4,33.2,34.0,1.41,76.9,3,0
Florida St.,ACC,115.9,93.0,69.6,17.0,17.3,54.9,46.6,19.6,20.3,35.6,29.3,38.7,33.6,1.99,79.6,5,1
Creighton,BE,116.6,93.9,70.2,15.8,17.9,57.3,46.4,15.2,18.0,23.8,30.0,37.4,33.3,2.22,77.0,3,1
Ohio St.,B10,118.9,96.3,66.8,18.2,17.3,52.4,48.1,15.8,16.0,31.5,26.5,34.4,33.3,1.98,77.5,4,1
Kansas,B12,113.3,91.1,68.0,16.4,17.6,50.6,49.0,18.4,18.7,33.1,26.1,35.8,34.2,1.44,78.2,2,0
West Virginia,B12,114.4,92.4,68.8,17.3,16.7,48.3,48.3,16.8,20.2,36.2,30.9,36.6,29.5,1.87,77.3,3,1
Colorado,P12,115.0,93.0,67.1,17.1,18.5,52.0,47.5,16.1,20.7,31.0,25.0,36.3,33.0,2.31,77.3,4,1
Tennessee,SEC,108.5,87.2,66.2,17.4,17.8,49.8,45.4,16.4,24.7,32.4,28.0,32.5,30.8,1.62,77.5,3,1
Oklahoma,B12,113.5,93.0,69.2,16.9,17.4,51.3,48.9,14.6,19.9,28.8,27.1,33.9,35.8,2.12,77.0,4,1
USC,P12,111.9,91.6,68.4,17.1,18.0,52.1,43.7,17.8,17.4,35.9,27.7,33.9,32.2,1.73,79.6,4,1
Loyola Chicago,MVC,110.4,90.2,66.0,17.9,18.0,57.0,46.8,17.9,22.4,25.2,22.0,35.7,32.4,2.22,76.2,5,1
Indiana,B10,111.3,92.1,66.5,17.7,17.4,51.6,48.4,16.8,18.2,23.4,26.2,34.9,33.3,1.36,77.2,2,0
Florida,SEC,113.1,94.1,70.4,16.1,17.2,54.1,48.1,19.7,21.8,32.6,31.6,37.8,34.6,1.51,77.3,4,1
Arizona,P12,114.0,95.1,69.7,16.2,17.7,51.7,47.3,17.0,19.3,35.8,23.6,37.6,32.1,1.33,78.6,3,1
Connecticut,BE,110.8,91.9,64.2,19.2,17.3,49.0,46.8,18.9,21.0,38.2,29.0,36.0,30.7,1.98,77.8,3,1
UCLA,P12,115.6,96.8,64.3,18.5,17.9,52.3,49.5,16.8,18.1,33.6,24.3,38.4,31.7,1.52,77.5,4,0
San Diego St.,MWC,110.1,91.6,66.1,17.0,18.6,52.9,49.4,19.1,23.7,30.4,24.7,38.5,34.8,2.45,76.6,3,1
Minnesota,B10,110.8,92.4,70.9,16.1,16.9,46.9,47.3,15.0,18.6,28.5,31.2,29.5,32.3,1.89,78.0,2,0
Oregon,P12,111.5,93.2,69.7,16.2,17.3,53.1,47.8,17.0,21.2,27.9,24.0,34.7,29.4,2.24,77.4,3,0
Purdue,B10,110.3,92.1,66.9,18.4,17.3,51.2,48.8,19.6,16.8,32.2,23.8,34.5,31.8,1.07,78.4,4,0
Arkansas,SEC,111.5,93.3,72.9,15.6,16.0,51.9,47.2,17.0,19.7,34.0,24.5,34.6,30.3,1.57,77.9,3,1
Oklahoma St.,B12,110.3,92.1,71.1,15.8,17.5,52.0,47.2,20.4,19.1,33.1,29.0,33.0,33.1,1.13,77.6,3,1
North Carolina,ACC,110.4,92.2,70.7,15.9,17.6,47.7,49.7,20.7,19.3,40.9,25.0,30.5,35.8,1.11,78.8,4,1
Missouri,SEC,110.1,92.2,69.8,16.6,17.0,50.1,44.8,19.4,17.8,30.4,30.0,28.6,28.6,2.5,77.6,3,0
Duke,ACC,111.7,94.0,69.6,16.4,17.0,51.1,52.3,19.3,20.0,32.3,23.6,33.1,36.9,0.87,76.9,2,1
LSU,SEC,117.8,100.3,70.8,16.1,16.8,54.0,48.8,17.3,20.0,32.6,31.7,34.0,30.4,1.07,77.6,3,1
Louisville,ACC,110.3,93.3,66.3,17.5,18.7,50.8,47.6,18.4,18.0,30.0,25.5,31.5,31.0,1.0,77.4,2,0
Virginia Tech,ACC,109.6,92.8,66.6,17.8,17.8,51.6,47.8,17.6,18.1,30.1,23.9,33.8,31.8,1.62,76.3,4,1
Rutgers,B10,110.1,93.3,68.8,16.8,17.5,51.6,49.2,14.9,18.3,28.5,27.9,35.4,33.4,1.96,77.9,1,1
Saint Louis,A10,110.6,93.9,69.4,15.8,17.6,56.6,48.2,17.4,23.1,34.8,21.8,39.5,34.6,1.88,76.2,3,0
Penn St.,B10,113.1,96.6,69.8,16.5,17.6,50.2,53.2,16.9,20.3,34.2,28.3,36.8,31.6,2.2,76.1,2,0
Seton Hall,BE,113.7,97.3,67.7,17.2,17.6,53.0,50.8,19.1,17.8,28.1,28.2,33.7,37.9,2.36,79.2,2,0
Maryland,B10,111.9,95.5,66.3,17.8,18.5,52.7,50.5,16.1,16.4,23.0,25.0,35.1,36.0,1.84,78.3,3,0
Syracuse,ACC,111.9,95.5,70.2,15.5,17.4,51.0,46.8,16.2,20.7,28.2,31.5,31.4,29.9,1.54,77.9,2,0
Michigan St.,B10,110.8,94.6,70.1,16.1,17.3,51.2,47.7,19.0,16.2,30.7,24.3,34.7,32.9,1.7,77.9,2,0
Stanford,P12,106.7,90.8,70.8,16.4,17.0,50.1,46.0,21.5,20.5,29.2,29.4,30.8,33.2,1.33,78.8,3,1
Utah St.,MWC,105.1,89.6,70.1,16.6,17.3,50.6,45.7,20.2,21.2,35.4,20.1,34.7,33.8,1.48,78.2,3,1
Clemson,ACC,106.2,90.7,66.0,17.5,18.4,48.6,49.4,19.4,23.7,27.3,27.9,31.0,35.5,1.78,77.0,2,1
BYU,WCC,108.8,93.4,68.8,16.9,16.4,52.6,45.4,19.7,16.5,28.7,24.2,32.8,31.6,2.03,78.0,4,0
Xavier,BE,110.9,95.6,68.8,16.2,17.4,54.2,46.0,16.9,17.3,27.8,26.9,35.4,33.3,1.94,77.2,3,1
SMU,Amer,112.5,97.2,69.7,15.8,17.4,54.0,46.8,18.6,19.6,30.2,28.2,37.0,34.6,2.12,77.4,2,0
St. Bonaventure,A10,108.6,93.5,66.7,17.7,17.9,47.1,45.0,17.7,21.3,35.0,28.8,30.0,27.8,1.93,77.3,5,1
Drake,MVC,110.6,95.7,67.4,17.1,17.8,57.2,44.5,16.8,21.1,34.6,23.3,41.5,28.4,2.05,76.2,5,1
Auburn,SEC,110.9,96.1,72.5,16.2,16.0,53.1,48.2,22.3,19.6,33.9,30.0,33.5,30.0,0.77,78.7,4,1
Kentucky,SEC,105.2,90.4,66.9,17.5,17.3,45.7,45.8,21.4,17.4,34.7,30.5,29.0,30.2,0.94,78.9,1,0
Richmond,A10,112.9,98.2,69.6,16.3,17.7,54.6,53.0,15.1,22.3,20.8,28.4,34.9,33.2,2.46,76.2,3,1
Memphis,Amer,103.4,88.8,71.4,15.9,17.2,49.1,44.0,21.1,22.2,33.5,24.0,34.5,28.6,1.1,77.8,4,1
Georgia Tech,ACC,111.2,96.9,66.9,17.8,16.8,54.5,52.3,15.9,21.8,23.6,27.7,37.9,37.6,2.61,76.0,3,0
Providence,BE,110.2,96.1,66.8,18.1,17.4,49.3,49.9,16.9,17.6,30.5,29.0,32.1,31.2,1.86,78.1,2,1
VCU,A10,104.3,90.3,71.3,15.5,17.3,52.1,44.9,21.4,25.2,28.9,31.3,34.3,30.3,1.27,77.2,3,1
Mississippi,SEC,105.1,91.3,66.5,17.5,17.0,49.1,47.7,19.4,24.6,32.5,26.3,28.3,35.5,1.98,77.2,2,0
Davidson,A10,113.1,99.6,63.6,19.1,18.2,55.9,49.4,17.5,15.2,29.3,18.8,35.8,32.4,1.76,78.4,4,1
Boise St.,MWC,109.2,95.9,69.4,16.0,17.8,53.1,46.1,15.6,21.2,30.9,21.0,33.6,29.7,2.05,78.2,4,0
Rhode Island,A10,106.0,92.7,70.1,16.8,16.8,51.1,45.8,21.3,18.2,29.2,26.1,33.6,31.4,1.93,76.4,3,1
Colorado St.,MWC,108.4,95.3,70.5,16.4,17.4,56.2,46.9,19.7,20.2,20.5,26.0,39.1,29.2,1.19,75.8,4,1
Toledo,MAC,115.3,102.6,67.7,17.4,17.2,54.2,48.9,16.4,18.6,32.3,31.3,39.3,29.1,1.74,76.7,4,1
Marquette,BE,109.4,96.9,67.3,18.0,17.1,51.2,46.6,20.3,15.3,31.4,28.1,35.1,34.6,1.7,78.1,2,0
Pittsburgh,ACC,106.6,94.4,69.8,16.6,16.8,48.8,46.5,18.6,19.2,35.1,28.0,32.2,28.2,1.23,77.7,3,0
N.C. State,ACC,109.1,96.9,69.8,16.4,17.4,53.2,52.0,17.8,24.3,28.4,32.3,37.1,35.3,1.77,77.0,1,1
Wright St.,Horz,106.5,94.5,71.7,16.0,16.8,55.1,42.6,19.2,16.9,34.4,25.9,35.4,28.1,1.33,77.4,4,1
Northwestern,B10,108.4,96.7,69.6,15.8,18.0,52.4,51.2,14.7,16.2,18.9,26.0,36.4,34.9,1.51,77.8,0,0
South Carolina,SEC,107.4,95.7,73.5,15.5,17.1,48.5,50.4,20.8,22.5,37.3,31.4,32.7,32.3,1.64,77.5,2,1
Arizona St.,P12,108.9,97.8,73.7,15.8,16.8,49.6,52.5,14.9,22.1,20.5,29.7,32.4,36.3,1.78,76.7,0,0
Utah,P12,108.0,97.0,67.5,17.6,17.6,50.5,49.2,17.7,21.1,26.3,29.8,31.6,34.5,1.38,77.4,2,0
Saint Mary's,WCC,104.7,93.7,63.3,20.2,16.2,49.9,46.9,16.6,17.9,27.3,21.1,32.7,35.0,1.57,77.7,2,1
Marshall,CUSA,107.0,96.1,72.4,14.6,17.5,52.5,48.9,16.8,21.3,25.7,28.0,32.7,35.6,1.93,77.2,3,1
Mississippi St.,SEC,108.1,97.4,65.8,18.4,17.5,49.8,48.1,20.4,18.0,37.4,25.3,36.0,34.8,1.28,78.9,1,0
St. John's,BE,109.5,98.9,74.0,14.6,17.2,50.6,54.2,16.7,23.4,28.9,30.0,34.3,36.9,1.49,77.0,4,1
Wichita St.,Amer,108.2,97.6,68.4,17.3,17.3,44.9,47.1,15.5,17.5,30.7,34.2,30.3,31.9,1.85,76.4,3,0
San Francisco,WCC,107.0,96.5,68.8,17.6,16.6,52.7,46.6,17.9,20.0,26.0,24.4,36.4,28.7,2.07,77.8,2,0
Dayton,A10,107.3,96.9,65.5,19.1,17.5,55.5,48.5,21.8,19.1,22.3,29.0,37.0,31.4,1.99,77.8,4,1
Western Kentucky,CUSA,108.2,98.2,68.4,17.6,16.1,50.1,49.8,20.3,19.0,32.0,22.3,33.1,36.3,2.16,76.3,4,1
