teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,125.9,88.2,74.6,14.2,17.5,60.9,46.9,15.8,20.4,31.4,23.4,35.6,33.3,1.51,78.2,5,1
Baylor,B12,123.0,88.1,68.7,16.2,17.4,59.1,47.0,17.4,25.9,37.9,29.8,43.9,31.8,1.96,76.6,5,1
Michigan,B10,118.5,89.1,67.7,16.9,17.8,56.8,43.1,17.9,15.5,30.4,24.9,37.9,32.2,2.13,77.9,4,1
Iowa,B10,127.6,98.8,69.9,16.0,17.5,55.4,48.7,13.0,16.8,33.2,30.8,39.6,34.6,1.65,77.9,3,1
Illinois,B10,117.8,90.8,70.0,16.7,17.0,56.5,46.2,18.6,16.3,32.9,22.9,39.0,33.3,1.64,77.1,5,1
Houston,Amer,116.2,89.1,65.9,19.0,16.8,49.1,42.1,17.6,22.2,40.1,27.3,34.0,26.9,1.79,77.0,4,1
Ohio St.,B10,122.6,95.6,67.1,18.1,17.3,52.8,47.7,15.2,15.9,30.4,26.1,35.5,33.1,1.99,77.5,5,1
Alabama,SEC,113.2,87.0,74.4,14.1,17.4,52.3,45.1,19.1,20.8,30.5,29.1,36.6,28.5,1.87,77.8,3,1
Virginia,ACC,116.3,90.2,59.8,20.1,18.8,57.5,47.0,15.1,16.1,21.9,22.1,39.9,32.1,1.9,77.8,4,1
Loyola Chicago,MVC,112.2,86.7,64.8,18.1,18.7,57.2,45.6,18.4,21.4,25.9,21.7,35.4,30.4,2.24,76.2,4,0
Villanova,BE,121.7,97.6,64.5,18.5,17.2,54.6,53.8,13.5,19.7,29.1,25.1,38.2,37.8,1.9,77.9,3,0
USC,P12,112.9,89.4,67.7,17.2,18.0,51.9,43.6,18.3,17.6,36.5,27.4,33.4,30.4,1.72,79.5,5,1
Wisconsin,B10,112.5,89.4,65.1,18.5,17.7,50.2,46.4,13.8,17.7,23.0,23.9,35.8,32.3,2.39,78.0,2,0
Colorado,P12,116.2,93.8,66.7,17.3,18.6,53.0,47.6,16.2,20.1,29.3,25.3,37.5,33.1,2.28,77.4,3,0
Creighton,BE,116.6,94.2,69.4,15.9,18.0,56.8,46.5,16.0,18.3,24.3,29.5,36.8,33.0,2.24,77.0,4,1
Tennessee,SEC,109.1,87.3,67.1,17.4,17.3,50.3,45.8,17.2,23.1,30.9,26.8,34.2,29.9,1.54,77.5,3,0
West Virginia,B12,117.0,95.4,69.2,17.4,16.6,48.9,49.2,16.5,19.8,36.2,30.6,36.9,31.3,1.84,77.2,3,0
Texas Tech,B12,112.4,91.0,66.3,17.8,17.7,49.1,47.5,16.1,24.7,34.6,28.7,33.9,35.0,1.43,76.9,3,0
Texas,B12,113.5,92.1,68.9,16.2,18.2,51.9,45.5,19.1,17.8,31.8,26.9,33.9,31.3,1.91,77.9,2,1
Florida St.,ACC,116.0,94.7,69.5,16.8,17.5,54.3,47.6,19.9,20.1,35.8,29.1,38.7,34.4,1.99,79.6,4,1
Oklahoma,B12,113.0,92.5,67.8,17.1,17.4,50.9,48.2,15.3,18.7,28.5,27.2,33.7,36.6,2.08,76.9,4,1
Purdue,B10,112.9,92.5,66.2,18.6,17.3,50.8,49.3,19.3,17.1,33.0,24.0,33.9,32.3,1.04,78.4,2,0
San Diego St.,MWC,111.9,91.5,66.0,16.6,18.6,53.3,47.8,17.5,22.9,32.2,22.7,38.1,33.9,2.42,76.6,5,1
Kansas,B12,111.7,91.4,68.7,16.2,17.8,49.9,48.1,17.7,20.0,32.3,26.4,34.7,34.4,1.48,78.3,4,1
Arkansas,SEC,112.5,92.3,72.4,15.8,16.0,51.2,47.9,17.0,20.5,32.6,25.4,34.1,32.3,1.56,78.0,4,1
Rutgers,B10,110.6,90.6,67.5,17.1,17.7,51.3,47.6,16.3,19.3,29.5,28.9,32.5,32.8,2.01,77.9,4,1
LSU,SEC,120.1,100.7,70.4,16.2,16.9,53.7,49.2,16.9,19.9,30.6,32.4,34.4,30.4,1.06,77.6,3,1
Florida,SEC,114.0,94.8,69.4,16.1,17.2,53.6,47.9,19.4,21.0,31.7,32.1,37.5,33.1,1.51,77.3,4,0
Indiana,B10,110.9,92.2,65.9,18.1,17.4,49.9,48.4,17.2,17.6,25.3,26.0,34.5,34.1,1.35,77.3,2,0
BYU,WCC,111.2,93.1,68.0,16.8,16.7,54.3,46.4,19.7,16.2,29.5,23.5,35.0,33.2,2.02,78.0,3,0
Louisville,ACC,110.8,92.8,65.9,17.7,18.4,50.2,46.8,18.1,17.6,31.2,25.5,31.9,30.9,0.98,77.5,2,1
Virginia Tech,ACC,111.6,93.7,66.2,18.1,18.0,52.0,48.2,17.2,17.4,28.6,23.4,34.3,32.5,1.58,76.3,3,1
Seton Hall,BE,114.0,96.0,67.4,17.1,18.0,51.9,49.7,18.8,18.3,28.5,28.4,33.5,36.3,2.37,79.2,3,1
