home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Colorado St.,Air Force,21,2021-03-01,18.5,1.0,0.7263,Colorado St.
Oklahoma St.,Oklahoma,2,2021-03-01,-1.5,1.0,0.7129,Oklahoma St.
Virginia,Miami FL,15,2021-03-01,14.5,0.0,0.6798,Miami FL
Saint Louis,Massachusetts,9,2021-03-01,10.0,0.0,0.6386,Massachusetts
Marist,Quinnipiac,3,2021-03-01,3.5,1.0,0.6276,Marist
Oregon,Arizona,2,2021-03-01,5.0,1.0,0.6188,Oregon
Nicholls St.,Northwestern St.,9,2021-03-01,9.0,1.0,0.6006,Nicholls St.
Alabama St.,Prairie View A&M,-11,2021-03-01,-12.0,1.0,0.5993,Alabama St.
Mississippi Valley St.,Grambling St.,-19,2021-03-01,-18.5,1.0,0.5957,Mississippi Valley St.
Alabama A&M,Texas Southern,-7,2021-03-01,-7.5,1.0,0.5908,Alabama A&M
Jackson St.,Arkansas Pine Bluff,11,2021-03-01,8.5,0.0,0.5887,Arkansas Pine Bluff
Central Arkansas,Stephen F. Austin,-10,2021-03-01,-11.5,0.0,0.5714,Stephen F. Austin
Richmond,Saint Joseph's,15,2021-03-01,14.5,0.0,0.5569,Saint Joseph's
St. Bonaventure,Dayton,8,2021-03-01,7.0,1.0,0.529,St. Bonaventure
Incarnate Word,New Orleans,-2,2021-03-01,-2.0,0.0,0.5283,New Orleans
Lamar,Texas A&M Corpus Chris,6,2021-03-01,6.0,1.0,0.5279,Lamar
UNC Asheville,Longwood,4,2021-03-01,3.5,0.0,0.5275,Longwood
Arizona St.,Washington St.,2,2021-03-01,4.5,0.0,0.5256,Washington St.
Radford,Hampton,8,2021-03-01,8.0,0.0,0.5142,Hampton
Houston Baptist,Sam Houston St.,-10,2021-03-01,-10.0,1.0,0.5093,Houston Baptist
Syracuse,North Carolina,-1,2021-03-01,-1.5,1.0,0.5049,Syracuse
Winthrop,High Point,15,2021-03-01,13.0,1.0,0.5018,Winthrop
