home,away,line,draft_kings,diff
Liberty,South Carolina St.,30.0,24.5,5.5
Davidson,Charlotte,17.0,11.5,5.5
Stetson,Florida Atlantic,1.0,-3.0,4.0
Iowa St.,Kansas St.,12.0,8.0,4.0
Utah,Utah Valley,22.0,18.0,4.0
UNC Greensboro,USC Upstate,15.0,18.5,3.5
Illinois,Minnesota,5.0,8.0,3.0
Illinois St.,Chicago St.,19.0,22.0,3.0
VCU,Western Carolina,13.0,15.5,2.5
Saint Mary's,Eastern Washington,11.0,8.5,2.5
UCLA,Long Beach St.,25.0,23.0,2.0
Rice,Houston Baptist,13.0,14.5,1.5
Wisconsin,Loyola Chicago,7.0,8.5,1.5
Evansville,Southeast Missouri St.,4.0,2.5,1.5
Alabama,Furman,4.0,5.5,1.5
Austin Peay,Florida A&M,14.0,13.0,1.0
Miami OH,Buffalo,-2.0,-3.0,1.0
Auburn,Texas Southern,15.0,14.0,1.0
Cal St. Northridge,Stanford,-17.0,-16.0,1.0
Virginia Tech,Clemson,-0.0,1.0,1.0
Florida St.,Georgia Tech,9.0,8.0,1.0
Louisiana Tech,Jackson St.,16.0,15.0,1.0
Akron,St. Bonaventure,-6.0,-5.5,0.5
Tulsa,Wichita St.,1.0,1.5,0.5
Texas A&M,Southeastern Louisiana,21.0,21.5,0.5
Louisiana,New Orleans,12.0,12.5,0.5
Radford,Longwood,4.0,4.5,0.5
Saint Louis,Indiana St.,13.0,13.0,0.0
Wofford,Coastal Carolina,5.0,5.0,0.0
Tennessee,Appalachian St.,19.0,19.0,0.0
