home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Portland St.,Montana,-4,2021-02-04,-1.0,0.0,0.7683,Montana,Montana,-6.0
Portland,BYU,-18,2021-02-04,-19.0,0.0,0.7271,BYU,BYU,-45.0
Iowa,Ohio St.,4,2021-02-04,5.5,0.0,0.6828,Ohio St.,Ohio St.,-4.0
Weber St.,Montana St.,3,2021-02-04,7.5,0.0,0.6644,Montana St.,Montana St.,8.0
Utah,Arizona,-3,2021-02-04,-1.5,1.0,0.6588,Utah,Arizona,15.0
Oregon St.,Washington,4,2021-02-04,6.0,1.0,0.6381,Oregon St.,Washington,20.0
Southeast Missouri St.,Tennessee Tech,4,2021-02-04,4.0,0.0,0.6291,Tennessee Tech,Tennessee Tech,4.0
California,Stanford,-7,2021-02-04,-6.0,1.0,0.6229,California,Stanford,-15.0
Morehead St.,Murray St.,1,2021-02-04,-2.5,1.0,0.6073,Morehead St.,Murray St.,10.0
Pacific,Gonzaga,-20,2021-02-04,-23.5,0.0,0.6005,Gonzaga,Gonzaga,-18.0
SIU Edwardsville,Tennessee St.,2,2021-02-04,1.0,0.0,0.5992,Tennessee St.,Tennessee St.,8.0
Merrimack,St. Francis PA,1,2021-02-04,3.0,0.0,0.5862,St. Francis PA,St. Francis PA,6.0
Gardner Webb,Presbyterian,10,2021-02-04,9.5,0.0,0.5699,Presbyterian,Presbyterian,6.0
Fresno St.,Utah St.,-9,2021-02-04,-11.0,0.0,0.5643,Utah St.,Utah St.,-16.0
Wyoming,Colorado St.,-9,2021-02-04,-8.0,0.0,0.5612,Colorado St.,Colorado St.,-2.0
Eastern Kentucky,Austin Peay,6,2021-02-04,2.5,1.0,0.5424,Eastern Kentucky,Austin Peay,-15.0
Bryant,Mount St. Mary's,5,2021-02-04,6.5,0.0,0.5334,Mount St. Mary's,,
Radford,USC Upstate,8,2021-02-04,9.0,1.0,0.5323,Radford,USC Upstate,2.0
Oregon,Washington St.,12,2021-02-04,11.5,0.0,0.532,Washington St.,Washington St.,-3.0
Eastern Illinois,Belmont,-12,2021-02-04,-14.5,1.0,0.5249,Eastern Illinois,Belmont,-28.0
Tennessee Martin,Jacksonville St.,-9,2021-02-04,-10.0,1.0,0.5244,Tennessee Martin,Jacksonville St.,-12.0
St. Francis NY,Wagner,1,2021-02-04,3.0,1.0,0.5086,St. Francis NY,Wagner,-7.0
Idaho,Eastern Washington,-16,2021-02-04,-15.0,0.0,0.5016,Eastern Washington,Eastern Washington,-14.0
