home,away,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Portland,Gonzaga,93.8,104.0,73.9,0.158,122.2,90.5,75.9,0.033
TCU,Baylor,107.0,97.1,68.1,0.167,119.7,88.4,70.1,0.018
West Virginia,Texas,112.7,91.3,69.0,0.04,112.7,87.8,69.4,0.054
Kansas,Oklahoma,113.3,90.0,69.4,0.133,112.1,95.7,69.7,0.022
Creighton,St. John's,115.3,91.8,71.2,-0.005,107.0,98.5,75.4,0.005
Texas A&M,Tennessee,101.6,94.2,67.3,0.119,110.5,86.8,67.3,0.036
Houston,Tulane,112.3,88.9,66.4,0.011,96.4,99.5,67.6,0.044
Rutgers,Ohio St.,110.3,92.1,69.6,0.065,114.7,94.7,66.7,-0.001
Utah,Oregon,108.0,95.9,67.0,-0.029,112.1,91.7,70.4,-0.003
Iowa St.,Texas Tech,106.4,97.2,69.9,-0.156,109.0,88.3,66.8,-0.07
Duke,Wake Forest,112.3,91.8,70.0,0.044,103.4,99.7,69.8,-0.117
Boston College,Virginia,106.6,99.5,72.5,-0.111,110.9,90.6,59.9,0.007
Eastern Michigan,Akron,99.0,103.2,68.4,-0.001,104.2,100.4,70.3,-0.007
Auburn,Alabama,107.8,97.4,69.3,-0.029,111.5,92.7,73.3,-0.013
Mississippi Valley St.,Alabama A&M,83.5,118.7,74.0,-0.0,89.9,106.4,70.6,0.0
Arkansas Pine Bluff,Alabama St.,87.9,108.0,70.8,0.006,83.4,107.7,69.0,0.0
Jackson St.,Alcorn St.,89.9,102.2,70.0,-0.01,91.4,110.9,71.6,-0.0
Louisiana,Little Rock,97.6,99.4,73.5,0.274,105.6,103.2,68.7,-0.04
Holy Cross,Army,92.5,110.4,70.4,0.138,95.8,101.0,70.3,0.218
Eastern Illinois,Austin Peay,101.9,104.0,70.4,0.028,103.4,106.1,69.1,0.115
Buffalo,Ball St.,105.9,100.9,73.6,-0.182,101.7,100.6,69.5,0.023
Central Michigan,Bowling Green,101.4,106.6,72.2,-0.008,106.8,102.0,71.0,0.074
Cal St. Bakersfield,Cal Poly,100.4,99.5,64.5,-0.064,92.3,107.1,68.6,0.045
Utah Valley,Cal Baptist,96.1,104.3,71.0,-0.245,97.9,109.2,70.9,-0.135
Longwood,Campbell,94.3,106.8,67.8,-0.164,99.1,107.4,68.0,0.049
Tulsa,UCF,103.3,92.0,66.0,-0.001,103.5,95.6,68.3,0.082
Marshall,Charlotte,106.8,97.0,73.5,-0.042,99.9,100.2,64.3,-0.037
The Citadel,Chattanooga,99.1,112.0,75.6,0.077,102.0,102.9,68.3,0.025
Boston University,Colgate,100.2,103.9,69.4,-0.138,105.8,102.7,70.9,-0.241
Butler,Connecticut,105.9,96.5,67.0,0.052,111.1,92.3,65.7,-0.053
William & Mary,Delaware,97.7,108.0,67.9,-0.011,97.5,105.9,67.9,0.105
Charleston,Drexel,99.5,104.7,64.6,-0.103,102.3,101.2,66.4,0.007
Old Dominion,Florida Atlantic,103.4,100.2,68.7,0.197,98.2,103.8,66.6,0.039
Middle Tennessee,FIU,93.5,98.6,71.3,-0.138,103.7,103.3,71.9,-0.136
Duquesne,Fordham,104.4,96.9,69.1,-0.102,91.3,97.9,66.5,0.186
Winthrop,Gardner Webb,106.8,100.2,77.8,0.092,100.0,105.5,68.8,-0.104
St. Bonaventure,George Washington,107.7,95.5,68.5,0.06,101.9,106.3,69.7,-0.206
Syracuse,Georgetown,109.1,91.7,71.7,-0.013,103.3,97.8,71.0,-0.124
Arkansas,Georgia,111.1,93.7,73.5,0.008,105.5,95.7,75.2,-0.035
Appalachian St.,Georgia Southern,99.0,102.9,66.4,0.05,96.9,104.8,68.8,0.054
Tarleton St.,Grand Canyon,93.9,108.7,70.1,-0.142,103.3,101.5,66.3,-0.106
UMass Lowell,Hartford,97.7,103.3,69.7,-0.031,97.0,104.8,67.4,0.1
